Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|,1351|1381|1349|1351|1311|1257|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,1351|1381|1349|1351|1311|1257|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|1351|1381|1349|1351|2568|,0|0|0|0|0|0|,47450|961|973|951|935|1802|,0|0|0|0|0|0|,7171|142|149|126|158|253|,0|0|0|0|0|0|,0|0|0|0|0|0|,7171|142|149|126|158|253|,0|0|0|0|0|0|,0|0|0|0|0|0|,6845|134|139|118|145|244|,3418|3|10|2|6|222|,0|0|0|0|0|0|
1,0|1|2|3|4|5|,3427|131|129|116|139|22|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3427|131|129|116|139|22|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3427|131|129|116|161|,0|0|0|0|0|0|,3570|2432|118|121|109|154|,0|0|0|0|0|0|,3472|2380|116|120|109|150|,0|0|0|0|0|0|,0|0|0|0|0|0|,3472|2380|116|120|109|150|,0|0|0|0|0|0|,0|0|0|0|0|0|,3472|2380|116|120|109|150|,1735|129|5|1|2|138|,0|0|0|0|0|0|
2,0|1|2|3|4|5|,1737|2251|111|119|107|12|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,1737|2251|111|119|107|12|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|1737|2251|111|119|119|,0|0|0|0|0|0|,23810|1398|2101|102|116|113|,0|0|0|0|0|0|,7790|461|668|39|33|31|,0|0|0|0|0|0|,0|0|0|0|0|0|,7790|461|668|39|33|31|,0|0|0|0|0|0|,0|0|0|0|0|0|,6592|388|570|31|29|29|,3339|21|37|1|2|24|,0|0|0|0|0|0|
3,0|1|2|3|4|5|,3253|367|533|30|27|5|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3253|367|533|30|27|5|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3253|367|533|30|32|,0|0|0|0|0|0|,6880|2698|341|505|30|32|,0|0|0|0|0|0|,4959|1921|242|364|21|28|,0|0|0|0|0|0|,0|0|0|0|0|0|,4959|1921|242|364|21|28|,0|0|0|0|0|0|,0|0|0|0|0|0|,4826|1863|239|347|21|27|,2381|88|13|21|1|24|,0|0|0|0|0|0|
4,0|1|2|3|4|5|,2445|1775|226|326|20|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2445|1775|226|326|20|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2445|1775|226|326|23|,0|0|0|0|0|0|,19350|2079|1666|216|307|23|,0|0|0|0|0|0|,7556|776|587|72|105|9|,0|0|0|0|0|0|,0|0|0|0|0|0|,7556|776|587|72|105|9|,0|0|0|0|0|0|,0|0|0|0|0|0|,6364|643|494|61|89|8|,3249|44|26|4|8|8|,0|0|0|0|0|0|
5,0|1|2|3|4|5|,3115|599|468|57|81|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3115|599|468|57|81|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3115|599|468|57|81|,0|0|0|0|0|0|,9700|2691|562|442|55|75|,0|0|0|0|0|0|,5609|1557|345|255|29|41|,0|0|0|0|0|0|,0|0|0|0|0|0|,5609|1557|345|255|29|41|,0|0|0|0|0|0|,0|0|0|0|0|0|,5309|1456|332|241|28|41|,2621|92|11|6|2|37|,0|0|0|0|0|0|
6,0|1|2|3|4|5|,2688|1364|321|235|26|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2688|1364|321|235|26|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2688|1364|321|235|30|,0|0|0|0|0|0|,16340|2351|1284|307|223|28|,0|0|0|0|0|0|,7098|975|521|109|94|12|,0|0|0|0|0|0|,0|0|0|0|0|0|,7098|975|521|109|94|12|,0|0|0|0|0|0|,0|0|0|0|0|0|,6128|830|450|91|88|10|,3057|49|20|3|2|10|,0|0|0|0|0|0|
7,0|1|2|3|4|5|,3071|781|430|88|86|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3071|781|430|88|86|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3071|781|430|88|86|,0|0|0|0|0|0|,10960|2706|748|401|82|85|,0|0|0|0|0|0|,5857|1410|437|219|40|49|,0|0|0|0|0|0|,0|0|0|0|0|0|,5857|1410|437|219|40|49|,0|0|0|0|0|0|,0|0|0|0|0|0|,5482|1306|409|202|35|48|,2770|58|25|13|1|43|,0|0|0|0|0|0|
8,0|1|2|3|4|5|,2712|1248|384|189|34|5|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2712|1248|384|189|34|5|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2712|1248|384|189|39|,0|0|0|0|0|0|,15950|2451|1181|361|185|39|,0|0|0|0|0|0|,6914|1004|478|165|79|17|,0|0|0|0|0|0|,0|0|0|0|0|0|,6914|1004|478|165|79|17|,0|0|0|0|0|0|,0|0|0|0|0|0|,6041|877|412|149|71|17|,2917|46|16|5|6|14|,0|0|0|0|0|0|
9,0|1|2|3|4|5|,3124|831|396|144|65|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3124|831|396|144|65|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3124|831|396|144|68|,0|0|0|0|0|0|,11380|2791|787|379|139|68|,0|0|0|0|0|0|,5989|1413|402|185|71|32|,0|0|0|0|0|0|,0|0|0|0|0|0|,5989|1413|402|185|71|32|,0|0|0|0|0|0|,0|0|0|0|0|0|,5523|1291|369|172|68|31|,2724|71|29|9|2|27|,0|0|0|0|0|0|
10,0|1|2|3|4|5|,2799|1220|340|163|66|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2799|1220|340|163|66|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2799|1220|340|163|70|,0|0|0|0|0|0|,14560|2516|1140|325|158|66|,0|0|0|0|0|0|,6965|1106|509|145|65|35|,0|0|0|0|0|0|,0|0|0|0|0|0|,6965|1106|509|145|65|35|,0|0|0|0|0|0|,0|0|0|0|0|0|,5956|949|435|120|59|31|,3007|49|23|2|3|27|,0|0|0|0|0|0|
