PatchID,XCOORD,YCOORD,ID,MID,FID,sex,age,size,mature,newmature,layeggs,capture,recapture,infection,CDist,Hindex,Species,ClassFile,SubPatchID,L0A0,L0A1,L1A0,L1A1
1,43.908878,-122.157688,ID1_F1_m1f1_P1_Y39_UO4430,ID1_F1_m1f1_P1_Y37_UO6057,ID1_F1_m1f1_P1_Y38_UO4545,MXY,1,0.0,1,0,0.0,0,0,0,-9999.0,0.7525793172535487,1,P0_CV0,1,2,0,2,0
1,43.908878,-122.157688,ID1_F1_m1f1_P1_Y39_UO4368,ID1_F1_m1f1_P1_Y37_UO5703,ID1_F1_m1f1_P1_Y38_UO3170,FXX,1,0.0,1,0,1.0,0,0,0,-9999.0,0.7524281367659569,1,P0_CV0,1,2,0,1,1
1,43.908878,-122.157688,ID1_F1_m1f1_P1_Y39_UO5722,ID1_F1_m1f1_P1_Y36_UO6946,ID1_F1_m1f1_P1_Y38_UO1859,FXX,1,0.0,1,0,1.0,0,0,0,-9999.0,0.7525256251683459,1,P0_CV0,1,2,0,2,0
1,43.908878,-122.157688,ID1_F1_m1f1_P1_Y39_UO61,ID1_F1_m1f1_P1_Y37_UO2562,ID1_F1_m1f1_P1_Y38_UO6336,FXX,1,0.0,1,0,1.0,0,0,0,-9999.0,0.752704540907871,1,P0_CV0,1,2,0,1,1
1,43.908878,-122.157688,ID1_F1_m1f1_P1_Y39_UO6363,ID1_F1_m1f1_P1_Y37_UO3608,ID1_F1_m1f1_P1_Y37_UO4782,MXY,1,0.0,1,0,0.0,0,0,0,-9999.0,0.752084539970383,1,P0_CV0,1,2,0,2,0
1,43.908878,-122.157688,ID1_F1_m1f1_P1_Y39_UO4665,ID1_F1_m1f1_P1_Y37_UO1519,ID1_F1_m1f1_P1_Y37_UO62,FXX,1,0.0,1,0,1.0,0,0,0,-9999.0,0.7524557300494052,1,P0_CV0,1,2,0,2,0
1,43.908878,-122.157688,ID1_F1_m1f1_P1_Y39_UO5131,ID1_F1_m1f1_P1_Y37_UO3108,ID1_F1_m1f1_P1_Y38_UO270,FXX,1,0.0,1,0,1.0,0,0,0,-9999.0,0.7524893926456571,1,P0_CV0,1,2,0,1,1
1,43.908878,-122.157688,ID1_F1_m1f1_P1_Y39_UO5700,ID1_F1_m1f1_P1_Y37_UO5696,ID1_F1_m1f1_P1_Y38_UO4430,FXX,1,0.0,1,0,1.0,0,0,0,-9999.0,0.7524185808433685,1,P0_CV0,1,2,0,1,1
1,43.908878,-122.157688,ID1_F1_m1f1_P1_Y39_UO4371,ID1_F1_m1f1_P1_Y37_UO5703,ID1_F1_m1f1_P1_Y38_UO3170,MXY,1,0.0,1,0,0.0,0,0,0,-9999.0,0.7524281367659569,1,P0_CV0,1,2,0,2,0
1,43.908878,-122.157688,ID1_F1_m1f1_P1_Y39_UO1033,ID1_F1_m1f1_P1_Y37_UO3617,ID1_F1_m1f1_P1_Y38_UO1777,FXX,1,0.0,1,0,1.0,0,0,0,-9999.0,0.7523752009146847,1,P0_CV0,1,2,0,2,0
1,43.908878,-122.157688,ID1_F1_m1f1_P1_Y39_UO5127,ID1_F1_m1f1_P1_Y37_UO3108,ID1_F1_m1f1_P1_Y38_UO270,MXY,1,0.0,1,0,0.0,0,0,0,-9999.0,0.7524893926456571,1,P0_CV0,1,2,0,1,1
1,43.908878,-122.157688,ID1_F1_m1f1_P1_Y39_UO2490,ID1_F1_m1f1_P1_Y37_UO194,ID1_F1_m1f1_P1_Y38_UO4162,FXX,1,0.0,1,0,1.0,0,0,0,-9999.0,0.7524405595904682,1,P0_CV0,1,2,0,1,1
1,43.908878,-122.157688,ID1_F1_m1f1_P1_Y39_UO2451,ID1_F1_m1f1_P1_Y37_UO5359,ID1_F1_m1f1_P1_Y38_UO4603,MXY,1,0.0,1,0,0.0,0,0,0,-9999.0,0.7518741958774626,1,P0_CV0,1,2,0,1,1
1,43.908878,-122.157688,ID1_F1_m1f1_P1_Y39_UO3885,ID1_F1_m1f1_P1_Y36_UO5094,ID1_F1_m1f1_P1_Y38_UO795,FXX,1,0.0,1,0,1.0,0,0,0,-9999.0,0.7520574572845362,1,P0_CV0,1,2,0,2,0
1,43.908878,-122.157688,ID1_F1_m1f1_P1_Y39_UO1638,ID1_F1_m1f1_P1_Y34_UO3499,ID1_F1_m1f1_P1_Y38_UO987,MXY,1,0.0,1,0,0.0,0,0,0,-9999.0,0.7522645919816568,1,P0_CV0,1,2,0,0,2
1,43.908878,-122.157688,ID1_F1_m1f1_P1_Y39_UO2443,ID1_F1_m1f1_P1_Y37_UO5359,ID1_F1_m1f1_P1_Y38_UO4603,FXX,1,0.0,1,0,1.0,0,0,0,-9999.0,0.7518741958774626,1,P0_CV0,1,2,0,1,1
1,43.908878,-122.157688,ID1_F1_m1f1_P1_Y39_UO4004,ID1_F1_m1f1_P1_Y36_UO6783,ID1_F1_m1f1_P1_Y38_UO5456,FXX,1,0.0,1,0,1.0,0,0,0,-9999.0,0.7524996401625685,1,P0_CV0,1,2,0,2,0
1,43.908878,-122.157688,ID1_F1_m1f1_P1_Y39_UO77,ID1_F1_m1f1_P1_Y37_UO2562,ID1_F1_m1f1_P1_Y38_UO6336,FXX,1,0.0,1,0,1.0,0,0,0,-9999.0,0.752704540907871,1,P0_CV0,1,2,0,0,2
1,43.908878,-122.157688,ID1_F1_m1f1_P1_Y39_UO463,ID1_F1_m1f1_P1_Y34_UO1039,ID1_F1_m1f1_P1_Y38_UO469,MXY,1,0.0,1,0,0.0,0,0,0,-9999.0,0.7527657491154969,1,P0_CV0,1,2,0,2,0
1,43.908878,-122.157688,ID1_F1_m1f1_P1_Y39_UO460,ID1_F1_m1f1_P1_Y37_UO5372,ID1_F1_m1f1_P1_Y38_UO279,FXX,1,0.0,1,0,1.0,0,0,0,-9999.0,0.7523411186411977,1,P0_CV0,1,2,0,0,2
