Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|,1329|1340|1334|1361|1317|1319|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,1329|1340|1334|1361|1317|1319|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|1329|1340|1334|1361|2636|,0|0|0|0|0|0|,47100|311|338|337|360|678|,0|0|0|0|0|0|,7674|57|48|49|63|104|,0|0|0|0|0|0|,0|0|0|0|0|0|,7674|57|48|49|63|104|,0|0|0|0|0|0|,0|0|0|0|0|0|,7674|56|48|49|63|104|,3869|2|1|1|3|94|,0|0|0|0|0|0|
1,0|1|2|3|4|5|,3805|54|47|48|60|10|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3805|54|47|48|60|10|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3805|54|47|48|70|,0|0|0|0|0|0|,1500|929|54|47|48|70|,0|0|0|0|0|0|,1500|929|54|47|48|70|,0|0|0|0|0|0|,0|0|0|0|0|0|,1500|929|54|47|48|70|,0|0|0|0|0|0|,0|0|0|0|0|0|,1500|929|54|47|48|70|,751|44|3|4|1|63|,0|0|0|0|0|0|
2,0|1|2|3|4|5|,749|885|51|43|47|7|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,749|885|51|43|47|7|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|749|885|51|43|54|,0|0|0|0|0|0|,9290|394|885|51|43|54|,0|0|0|0|0|0|,7022|299|667|38|33|40|,0|0|0|0|0|0|,0|0|0|0|0|0|,7022|299|667|38|33|40|,0|0|0|0|0|0|,0|0|0|0|0|0|,6904|296|658|37|33|40|,3452|17|33|0|2|35|,0|0|0|0|0|0|
3,0|1|2|3|4|5|,3452|279|625|37|31|5|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3452|279|625|37|31|5|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3452|279|625|37|36|,0|0|0|0|0|0|,7060|3154|279|625|37|36|,0|0|0|0|0|0|,5184|2420|189|478|30|25|,0|0|0|0|0|0|,0|0|0|0|0|0|,5184|2420|189|478|30|25|,0|0|0|0|0|0|,0|0|0|0|0|0|,4949|2352|181|465|28|25|,2485|121|10|36|0|24|,0|0|0|0|0|0|
4,0|1|2|3|4|5|,2464|2231|171|429|28|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2464|2231|171|429|28|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2464|2231|171|429|29|,0|0|0|0|0|0|,25150|2342|2231|171|429|29|,0|0|0|0|0|0|,7559|751|668|58|130|9|,0|0|0|0|0|0|,0|0|0|0|0|0|,7559|751|668|58|130|9|,0|0|0|0|0|0|,0|0|0|0|0|0|,6592|644|587|52|112|8|,3306|36|27|1|4|7|,0|0|0|0|0|0|
5,0|1|2|3|4|5|,3286|608|560|51|108|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3286|608|560|51|108|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3286|608|560|51|109|,0|0|0|0|0|0|,10600|3244|608|560|51|109|,0|0|0|0|0|0|,5929|1866|353|313|31|60|,0|0|0|0|0|0|,0|0|0|0|0|0|,5929|1866|353|313|31|60|,0|0|0|0|0|0|,0|0|0|0|0|0|,5509|1766|331|303|31|58|,2766|81|14|22|1|49|,0|0|0|0|0|0|
6,0|1|2|3|4|5|,2743|1685|317|281|30|9|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2743|1685|317|281|30|9|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2743|1685|317|281|39|,0|0|0|0|0|0|,19710|2723|1685|317|281|39|,0|0|0|0|0|0|,7028|1010|610|110|95|16|,0|0|0|0|0|0|,0|0|0|0|0|0|,7028|1010|610|110|95|16|,0|0|0|0|0|0|,0|0|0|0|0|0|,6360|900|543|95|83|15|,3246|51|18|8|5|15|,0|0|0|0|0|0|
7,0|1|2|3|4|5|,3114|849|525|87|78|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3114|849|525|87|78|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3114|849|525|87|78|,0|0|0|0|0|0|,12190|3113|849|525|87|78|,0|0|0|0|0|0|,5965|1609|429|290|45|43|,0|0|0|0|0|0|,0|0|0|0|0|0|,5965|1609|429|290|45|43|,0|0|0|0|0|0|,0|0|0|0|0|0|,5715|1524|407|273|40|39|,2888|78|16|17|2|37|,0|0|0|0|0|0|
8,0|1|2|3|4|5|,2827|1446|391|256|38|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2827|1446|391|256|38|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2827|1446|391|256|40|,0|0|0|0|0|0|,17190|2827|1446|391|256|40|,0|0|0|0|0|0|,6701|1174|588|161|103|12|,0|0|0|0|0|0|,0|0|0|0|0|0|,6701|1174|588|161|103|12|,0|0|0|0|0|0|,0|0|0|0|0|0|,6152|1072|524|148|93|11|,3099|54|32|12|8|11|,0|0|0|0|0|0|
9,0|1|2|3|4|5|,3053|1018|492|136|85|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3053|1018|492|136|85|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3053|1018|492|136|85|,0|0|0|0|0|0|,13650|3053|1018|492|136|85|,0|0|0|0|0|0|,6213|1464|482|221|63|46|,0|0|0|0|0|0|,0|0|0|0|0|0|,6213|1464|482|221|63|46|,0|0|0|0|0|0|,0|0|0|0|0|0|,5864|1371|453|204|59|44|,2903|72|26|15|1|41|,0|0|0|0|0|0|
