Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|,1347|1372|1246|1407|1307|1321|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,1347|1372|1246|1407|1307|1321|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|1347|1372|1246|1407|2628|,0|0|0|0|0|0|,45550|925|951|882|984|1806|,0|0|0|0|0|0|,7144|141|143|137|161|270|,0|0|0|0|0|0|,0|0|0|0|0|0|,7144|141|143|137|161|270|,0|0|0|0|0|0|,0|0|0|0|0|0|,7032|140|141|135|157|259|,3597|10|8|5|6|234|,0|0|0|0|0|0|
1,0|1|2|3|4|5|,3435|130|133|130|151|25|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3435|130|133|130|151|25|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3435|130|133|130|176|,0|0|0|0|0|0|,4050|2349|105|113|113|147|,0|0|0|0|0|0|,3946|2306|105|113|112|139|,0|0|0|0|0|0|,0|0|0|0|0|0|,3946|2306|105|113|112|139|,0|0|0|0|0|0|,0|0|0|0|0|0|,3946|2306|105|113|112|139|,1978|119|7|4|5|130|,0|0|0|0|0|0|
2,0|1|2|3|4|5|,1968|2187|98|109|107|9|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,1968|2187|98|109|107|9|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|1968|2187|98|109|116|,0|0|0|0|0|0|,23410|1470|1851|86|102|99|,0|0|0|0|0|0|,7967|526|688|30|36|31|,0|0|0|0|0|0|,0|0|0|0|0|0|,7967|526|688|30|36|31|,0|0|0|0|0|0|,0|0|0|0|0|0|,6859|460|595|27|34|25|,3414|23|34|1|1|25|,0|0|0|0|0|0|
3,0|1|2|3|4|5|,3445|437|561|26|33|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3445|437|561|26|33|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3445|437|561|26|33|,0|0|0|0|0|0|,7990|2674|378|482|21|30|,0|0|0|0|0|0|,5631|1927|253|335|15|19|,0|0|0|0|0|0|,0|0|0|0|0|0|,5631|1927|253|335|15|19|,0|0|0|0|0|0|,0|0|0|0|0|0|,5474|1862|250|322|15|18|,2739|97|16|12|0|18|,0|0|0|0|0|0|
4,0|1|2|3|4|5|,2735|1765|234|310|15|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2735|1765|234|310|15|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2735|1765|234|310|15|,0|0|0|0|0|0|,20270|2136|1515|193|275|14|,0|0|0|0|0|0|,7673|773|558|69|106|6|,0|0|0|0|0|0|,0|0|0|0|0|0|,7673|773|558|69|106|6|,0|0|0|0|0|0|,0|0|0|0|0|0|,6672|680|494|57|91|6|,3418|32|24|2|5|6|,0|0|0|0|0|0|
5,0|1|2|3|4|5|,3254|648|470|55|86|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3254|648|470|55|86|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3254|648|470|55|86|,0|0|0|0|0|0|,9680|2654|547|414|49|79|,0|0|0|0|0|0|,6060|1742|328|261|28|45|,0|0|0|0|0|0|,0|0|0|0|0|0|,6060|1742|328|261|28|45|,0|0|0|0|0|0|,0|0|0|0|0|0|,5694|1652|314|252|27|42|,2815|90|22|13|1|40|,0|0|0|0|0|0|
6,0|1|2|3|4|5|,2879|1562|292|239|26|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2879|1562|292|239|26|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2879|1562|292|239|28|,0|0|0|0|0|0|,18020|2298|1349|256|207|23|,0|0|0|0|0|0|,7151|891|529|96|74|9|,0|0|0|0|0|0|,0|0|0|0|0|0|,7151|891|529|96|74|9|,0|0|0|0|0|0|,0|0|0|0|0|0|,6534|817|490|85|65|9|,3313|40|26|3|2|7|,0|0|0|0|0|0|
7,0|1|2|3|4|5|,3221|777|464|82|63|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3221|777|464|82|63|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3221|777|464|82|65|,0|0|0|0|0|0|,10960|2665|688|404|75|53|,0|0|0|0|0|0|,6164|1501|360|206|34|30|,0|0|0|0|0|0|,0|0|0|0|0|0|,6164|1501|360|206|34|30|,0|0|0|0|0|0|,0|0|0|0|0|0|,5916|1450|344|197|31|28|,3014|67|25|8|1|28|,0|0|0|0|0|0|
8,0|1|2|3|4|5|,2902|1383|319|189|30|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2902|1383|319|189|30|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2902|1383|319|189|30|,0|0|0|0|0|0|,16620|2372|1178|286|160|27|,0|0|0|0|0|0|,6957|1008|529|115|72|14|,0|0|0|0|0|0|,0|0|0|0|0|0|,6957|1008|529|115|72|14|,0|0|0|0|0|0|,0|0|0|0|0|0|,6414|916|483|106|68|13|,3292|57|24|6|2|12|,0|0|0|0|0|0|
9,0|1|2|3|4|5|,3122|859|459|100|66|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3122|859|459|100|66|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3122|859|459|100|67|,0|0|0|0|0|0|,12470|2605|743|396|84|53|,0|0|0|0|0|0|,6589|1330|407|185|43|33|,0|0|0|0|0|0|,0|0|0|0|0|0|,6589|1330|407|185|43|33|,0|0|0|0|0|0|,0|0|0|0|0|0|,6135|1231|386|179|41|28|,3077|60|26|4|1|22|,0|0|0|0|0|0|
