Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|,1316|1266|1366|1361|1349|1342|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,1316|1266|1366|1361|1349|1342|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|1316|1266|1366|1361|2691|,0|0|0|0|0|0|,40660|863|846|878|863|1762|,0|0|0|0|0|0|,6171|137|148|129|121|291|,0|0|0|0|0|0|,0|0|0|0|0|0|,6171|137|148|129|121|291|,0|0|0|0|0|0|,0|0|0|0|0|0|,6080|135|148|123|120|285|,3005|5|6|3|9|253|,0|0|0|0|0|0|
1,0|1|2|3|4|5|,3075|130|142|120|111|32|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3075|130|142|120|111|32|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3075|130|142|120|143|,0|0|0|0|0|0|,3930|2329|130|142|120|143|,0|0|0|0|0|0|,3746|2239|128|134|115|137|,0|0|0|0|0|0|,0|0|0|0|0|0|,3746|2239|128|134|115|137|,0|0|0|0|0|0|,0|0|0|0|0|0|,3733|2234|127|134|115|137|,1876|136|14|9|4|124|,0|0|0|0|0|0|
2,0|1|2|3|4|5|,1857|2098|113|125|111|13|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,1857|2098|113|125|111|13|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|1857|2098|113|125|124|,0|0|0|0|0|0|,21520|1560|2098|113|125|124|,0|0|0|0|0|0|,6987|563|728|37|34|39|,0|0|0|0|0|0|,0|0|0|0|0|0|,6987|563|728|37|34|39|,0|0|0|0|0|0|,0|0|0|0|0|0|,5850|465|596|31|25|33|,2935|27|30|0|2|31|,0|0|0|0|0|0|
3,0|1|2|3|4|5|,2915|438|566|31|23|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2915|438|566|31|23|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2915|438|566|31|25|,0|0|0|0|0|0|,7920|2518|438|566|31|25|,0|0|0|0|0|0|,4906|1602|273|375|20|19|,0|0|0|0|0|0|,0|0|0|0|0|0|,4906|1602|273|375|20|19|,0|0|0|0|0|0|,0|0|0|0|0|0|,4766|1556|268|369|19|19|,2416|75|9|20|0|15|,0|0|0|0|0|0|
4,0|1|2|3|4|5|,2350|1481|259|349|19|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2350|1481|259|349|19|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2350|1481|259|349|23|,0|0|0|0|0|0|,17950|2047|1481|259|349|23|,0|0|0|0|0|0|,6836|752|565|86|126|8|,0|0|0|0|0|0|,0|0|0|0|0|0|,6836|752|565|86|126|8|,0|0|0|0|0|0|,0|0|0|0|0|0|,5739|619|466|69|99|8|,2872|30|22|2|2|7|,0|0|0|0|0|0|
5,0|1|2|3|4|5|,2867|589|444|67|97|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2867|589|444|67|97|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2867|589|444|67|98|,0|0|0|0|0|0|,9360|2593|589|444|67|98|,0|0|0|0|0|0|,5074|1499|361|250|36|61|,0|0|0|0|0|0|,0|0|0|0|0|0|,5074|1499|361|250|36|61|,0|0|0|0|0|0|,0|0|0|0|0|0|,4853|1437|343|239|33|60|,2481|79|12|8|1|56|,0|0|0|0|0|0|
6,0|1|2|3|4|5|,2372|1358|331|231|32|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2372|1358|331|231|32|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2372|1358|331|231|36|,0|0|0|0|0|0|,16880|2200|1358|331|231|36|,0|0|0|0|0|0|,6327|863|538|115|82|16|,0|0|0|0|0|0|,0|0|0|0|0|0|,6327|863|538|115|82|16|,0|0|0|0|0|0|,0|0|0|0|0|0|,5591|750|478|103|67|11|,2857|35|29|10|3|11|,0|0|0|0|0|0|
7,0|1|2|3|4|5|,2734|715|449|93|64|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2734|715|449|93|64|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2734|715|449|93|64|,0|0|0|0|0|0|,10090|2546|715|449|93|64|,0|0|0|0|0|0|,5344|1404|423|254|50|36|,0|0|0|0|0|0|,0|0|0|0|0|0|,5344|1404|423|254|50|36|,0|0|0|0|0|0|,0|0|0|0|0|0|,4957|1317|390|235|44|35|,2467|70|19|14|3|30|,0|0|0|0|0|0|
8,0|1|2|3|4|5|,2490|1247|371|221|41|5|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2490|1247|371|221|41|5|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2490|1247|371|221|46|,0|0|0|0|0|0|,15630|2341|1247|371|221|46|,0|0|0|0|0|0|,6370|936|510|147|97|19|,0|0|0|0|0|0|,0|0|0|0|0|0|,6370|936|510|147|97|19|,0|0|0|0|0|0|,0|0|0|0|0|0|,5519|812|442|126|83|18|,2718|36|20|5|1|17|,0|0|0|0|0|0|
9,0|1|2|3|4|5|,2801|776|422|121|82|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2801|776|422|121|82|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2801|776|422|121|83|,0|0|0|0|0|0|,11200|2694|776|422|121|83|,0|0|0|0|0|0|,5493|1351|362|217|59|37|,0|0|0|0|0|0|,0|0|0|0|0|0|,5493|1351|362|217|59|37|,0|0|0|0|0|0|,0|0|0|0|0|0|,5121|1255|329|205|53|36|,2531|65|15|5|3|29|,0|0|0|0|0|0|
