Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|,1339|1311|1386|1312|1341|1311|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,1339|1311|1386|1312|1341|1311|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|1339|1311|1386|1312|2652|,0|0|0|0|0|0|,46420|941|900|955|905|1853|,0|0|0|0|0|0|,7095|169|140|144|134|311|,0|0|0|0|0|0|,0|0|0|0|0|0|,7095|169|140|144|134|311|,0|0|0|0|0|0|,0|0|0|0|0|0|,6936|168|138|141|128|305|,3456|9|6|10|8|278|,0|0|0|0|0|0|
1,0|1|2|3|4|5|,3480|159|132|131|120|27|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3480|159|132|131|120|27|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3480|159|132|131|147|,0|0|0|0|0|0|,4220|2395|132|99|105|129|,0|0|0|0|0|0|,4102|2335|130|99|102|127|,0|0|0|0|0|0|,0|0|0|0|0|0|,4102|2335|130|99|102|127|,0|0|0|0|0|0|,0|0|0|0|0|0|,4102|2335|130|99|102|127|,2066|123|6|1|5|115|,0|0|0|0|0|0|
2,0|1|2|3|4|5|,2036|2212|124|98|97|12|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2036|2212|124|98|97|12|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2036|2212|124|98|109|,0|0|0|0|0|0|,23390|1517|1833|108|81|100|,0|0|0|0|0|0|,7976|494|596|35|30|35|,0|0|0|0|0|0|,0|0|0|0|0|0|,7976|494|596|35|30|35|,0|0|0|0|0|0|,0|0|0|0|0|0|,6964|425|521|32|25|33|,3503|28|28|1|2|27|,0|0|0|0|0|0|
3,0|1|2|3|4|5|,3461|397|493|31|23|6|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3461|397|493|31|23|6|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3461|397|493|31|29|,0|0|0|0|0|0|,7200|2592|341|434|28|24|,0|0|0|0|0|0|,5435|1982|257|320|22|20|,0|0|0|0|0|0|,0|0|0|0|0|0|,5435|1982|257|320|22|20|,0|0|0|0|0|0|,0|0|0|0|0|0|,5316|1927|254|312|22|20|,2661|116|7|13|1|18|,0|0|0|0|0|0|
4,0|1|2|3|4|5|,2655|1811|247|299|21|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2655|1811|247|299|21|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2655|1811|247|299|23|,0|0|0|0|0|0|,19970|2049|1527|217|264|19|,0|0|0|0|0|0|,7367|771|542|86|104|7|,0|0|0|0|0|0|,0|0|0|0|0|0|,7367|771|542|86|104|7|,0|0|0|0|0|0|,0|0|0|0|0|0|,6641|698|489|75|92|5|,3330|30|28|3|2|4|,0|0|0|0|0|0|
5,0|1|2|3|4|5|,3311|668|461|72|90|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3311|668|461|72|90|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3311|668|461|72|91|,0|0|0|0|0|0|,10330|2666|576|393|68|83|,0|0|0|0|0|0|,6313|1664|357|233|42|47|,0|0|0|0|0|0|,0|0|0|0|0|0|,6313|1664|357|233|42|47|,0|0|0|0|0|0|,0|0|0|0|0|0|,5850|1526|326|213|39|46|,2923|71|13|7|1|41|,0|0|0|0|0|0|
6,0|1|2|3|4|5|,2927|1455|313|206|38|5|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2927|1455|313|206|38|5|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2927|1455|313|206|43|,0|0|0|0|0|0|,16840|2348|1265|275|184|38|,0|0|0|0|0|0|,7095|1025|534|128|76|22|,0|0|0|0|0|0|,0|0|0|0|0|0|,7095|1025|534|128|76|22|,0|0|0|0|0|0|,0|0|0|0|0|0|,6387|925|484|116|69|19|,3188|47|24|6|5|17|,0|0|0|0|0|0|
7,0|1|2|3|4|5|,3199|878|460|110|64|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3199|878|460|110|64|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3199|878|460|110|66|,0|0|0|0|0|0|,12310|2637|772|406|90|59|,0|0|0|0|0|0|,6346|1357|372|226|46|26|,0|0|0|0|0|0|,0|0|0|0|0|0|,6346|1357|372|226|46|26|,0|0|0|0|0|0|,0|0|0|0|0|0|,6062|1291|359|214|42|26|,3001|60|16|10|3|20|,0|0|0|0|0|0|
8,0|1|2|3|4|5|,3061|1231|343|204|39|6|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3061|1231|343|204|39|6|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3061|1231|343|204|45|,0|0|0|0|0|0|,15040|2550|1078|287|178|44|,0|0|0|0|0|0|,7001|1141|461|121|78|17|,0|0|0|0|0|0|,0|0|0|0|0|0|,7001|1141|461|121|78|17|,0|0|0|0|0|0|,0|0|0|0|0|0|,6351|1018|429|113|72|17|,3220|66|28|9|1|16|,0|0|0|0|0|0|
9,0|1|2|3|4|5|,3131|952|401|104|71|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3131|952|401|104|71|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3131|952|401|104|72|,0|0|0|0|0|0|,12650|2588|831|359|95|61|,0|0|0|0|0|0|,6365|1300|405|177|55|28|,0|0|0|0|0|0|,0|0|0|0|0|0|,6365|1300|405|177|55|28|,0|0|0|0|0|0|,0|0|0|0|0|0|,6085|1228|382|168|50|28|,3034|58|16|18|2|24|,0|0|0|0|0|0|
10,0|1|2|3|4|5|,3051|1170|366|150|48|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3051|1170|366|150|48|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3051|1170|366|150|52|,0|0|0|0|0|0|,15120|2568|1008|327|139|51|,0|0|0|0|0|0|,6928|1133|461|138|64|24|,0|0|0|0|0|0|,0|0|0|0|0|0|,6928|1133|461|138|64|24|,0|0|0|0|0|0|,0|0|0|0|0|0|,6337|1031|427|129|58|18|,3163|60|17|7|2|18|,0|0|0|0|0|0|
11,0|1|2|3|4|5|,3174|971|410|122|56|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3174|971|410|122|56|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3174|971|410|122|56|,0|0|0|0|0|0|,13240|2716|859|353|105|50|,0|0|0|0|0|0|,6737|1327|440|179|52|26|,0|0|0|0|0|0|,0|0|0|0|0|0|,6737|1327|440|179|52|26|,0|0|0|0|0|0|,0|0|0|0|0|0|,6151|1213|402|163|45|26|,3121|65|17|6|2|22|,0|0|0|0|0|0|
12,0|1|2|3|4|5|,3030|1148|385|157|43|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3030|1148|385|157|43|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3030|1148|385|157|47|,0|0|0|0|0|0|,14200|2557|1003|342|142|42|,0|0|0|0|0|0|,6572|1230|477|163|52|11|,0|0|0|0|0|0|,0|0|0|0|0|0|,6572|1230|477|163|52|11|,0|0|0|0|0|0|,0|0|0|0|0|0|,6168|1167|450|156|50|9|,3098|66|24|9|2|9|,0|0|0|0|0|0|
13,0|1|2|3|4|5|,3070|1101|426|147|48|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3070|1101|426|147|48|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3070|1101|426|147|48|,0|0|0|0|0|0|,14590|2642|969|368|140|44|,0|0|0|0|0|0|,6640|1181|448|181|69|17|,0|0|0|0|0|0|,0|0|0|0|0|0|,6640|1181|448|181|69|17|,0|0|0|0|0|0|,0|0|0|0|0|0|,6213|1116|422|168|65|16|,3140|49|16|10|5|14|,0|0|0|0|0|0|
