Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|,1284|1345|1310|1388|1352|1321|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,1284|1345|1310|1388|1352|1321|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|1284|1345|1310|1388|2673|,0|0|0|0|0|0|,2693600|908|923|918|932|1855|,0|0|0|0|0|0|,7803|4|8|5|6|8|,3953|0|0|0|0|0|,0|0|0|0|0|0|,3850|4|8|5|6|8|,0|0|0|0|0|0|,0|0|0|0|0|0|,3850|4|8|5|6|8|,2268|1|1|2|1|6|,0|0|0|0|0|0|
1,0|1|2|3|4|5|,1582|3|7|3|5|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,1582|3|7|3|5|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|1582|3|7|3|7|,0|0|0|0|0|0|,8000|1059|3|7|3|7|,0|0|0|0|0|0|,3270|842|2|4|1|3|,1658|0|0|0|0|0|,0|0|0|0|0|0|,1612|842|2|4|1|3|,0|0|0|0|0|0|,0|0|0|0|0|0|,1612|842|2|4|1|3|,1001|39|0|0|1|1|,0|0|0|0|0|0|
2,0|1|2|3|4|5|,611|803|2|4|0|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,611|803|2|4|0|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|611|803|2|4|2|,0|0|0|0|0|0|,645600|479|803|2|4|2|,0|0|0|0|0|0|,15470|7|20|0|1|0|,7657|0|0|0|0|0|,0|0|0|0|0|0|,7813|7|20|0|1|0|,0|0|0|0|0|0|,0|0|0|0|0|0|,4295|7|12|0|1|0|,2553|0|3|0|0|0|,0|0|0|0|0|0|
3,0|1|2|3|4|5|,1742|7|9|0|1|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,1742|7|9|0|1|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|1742|7|9|0|1|,0|0|0|0|0|0|,0|1406|7|9|0|1|,0|0|0|0|0|0|,0|1406|7|9|0|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|1406|7|9|0|1|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|1406|7|9|0|1|,0|72|1|0|0|1|,0|0|0|0|0|0|
4,0|1|2|3|4|5|,0|1334|6|9|0|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,0|1334|6|9|0|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|0|1334|6|9|0|,0|0|0|0|0|0|,0|0|1334|6|9|0|,0|0|0|0|0|0|,0|0|1334|6|9|0|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|1334|6|9|0|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|1334|6|9|0|,0|0|264|1|0|0|,0|0|0|0|0|0|
5,0|1|2|3|4|5|,0|0|1070|5|9|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,0|0|1070|5|9|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|0|0|1070|5|9|,0|0|0|0|0|0|,0|0|0|1070|5|9|,0|0|0|0|0|0|,0|0|0|1070|5|9|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|1070|5|9|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|1070|5|9|,0|0|0|174|1|7|,0|0|0|0|0|0|
6,0|1|2|3|4|5|,0|0|0|896|4|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,0|0|0|896|4|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|0|0|0|896|6|,0|0|0|0|0|0|,0|0|0|0|896|6|,0|0|0|0|0|0|,0|0|0|0|896|6|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|896|6|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|896|6|,0|0|0|0|135|2|,0|0|0|0|0|0|
7,0|1|2|3|4|5|,0|0|0|0|761|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,0|0|0|0|761|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|0|0|0|0|765|,0|0|0|0|0|0|,0|0|0|0|0|765|,0|0|0|0|0|0|,0|0|0|0|0|765|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|765|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|765|,0|0|0|0|0|464|,0|0|0|0|0|0|
8,0|1|2|3|4|5|,0|0|0|0|0|301|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,0|0|0|0|0|301|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|0|0|0|0|301|,0|0|0|0|0|0|,0|0|0|0|0|301|,0|0|0|0|0|0|,0|0|0|0|0|301|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|301|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|301|,0|0|0|0|0|176|,0|0|0|0|0|0|
9,0|1|2|3|4|5|,0|0|0|0|0|125|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,0|0|0|0|0|125|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|0|0|0|0|125|,0|0|0|0|0|0|,0|0|0|0|0|125|,0|0|0|0|0|0|,0|0|0|0|0|125|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|125|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|125|,0|0|0|0|0|70|,0|0|0|0|0|0|
10,0|1|2|3|4|5|,0|0|0|0|0|55|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,0|0|0|0|0|55|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|0|0|0|0|55|,0|0|0|0|0|0|,0|0|0|0|0|55|,0|0|0|0|0|0|,0|0|0|0|0|55|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|55|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|55|,0|0|0|0|0|34|,0|0|0|0|0|0|
11,0|1|2|3|4|5|,0|0|0|0|0|21|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,0|0|0|0|0|21|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|0|0|0|0|21|,0|0|0|0|0|0|,0|0|0|0|0|21|,0|0|0|0|0|0|,0|0|0|0|0|21|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|21|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|21|,0|0|0|0|0|11|,0|0|0|0|0|0|
