Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|,0|2008|491|1204|235|62|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,0|2008|491|1204|235|62|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|0|2008|491|1204|297|,0|0|0|0|0|0|,29775|0|1382|331|834|218|,0|0|0|0|0|0|,7354|0|365|84|207|58|,3719|0|0|0|0|0|,0|0|0|0|0|0|,3635|0|365|84|207|58|,0|0|0|0|0|0|,0|0|0|0|0|0|,3635|0|365|84|207|58|,2928|0|75|18|46|11|,0|0|0|0|0|0|
1,0|1|2|3|4|5|,707|0|290|66|161|47|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,707|0|290|66|161|47|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|707|0|290|66|208|,0|0|0|0|0|0|,4065|486|0|290|66|208|,0|0|0|0|0|0|,4065|486|0|290|66|208|,2009|0|0|0|0|0|,0|0|0|0|0|0|,2056|486|0|290|66|208|,0|0|0|0|0|0|,0|0|0|0|0|0|,2056|486|0|290|66|208|,1675|114|0|49|17|33|,0|0|0|0|0|0|
2,0|1|2|3|4|5|,381|372|0|241|49|175|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,381|372|0|241|49|175|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|381|372|0|241|224|,0|0|0|0|0|0|,8880|349|372|0|241|224|,0|0|0|0|0|0|,6648|269|269|0|188|169|,3266|0|0|0|0|0|,0|0|0|0|0|0|,3382|269|269|0|188|169|,0|0|0|0|0|0|,0|0|0|0|0|0|,3382|269|269|0|188|169|,2709|75|46|0|26|24|,0|0|0|0|0|0|
3,0|1|2|3|4|5|,673|194|223|0|162|145|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,673|194|223|0|162|145|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|673|194|223|0|307|,0|0|0|0|0|0|,8430|605|194|223|0|307|,0|0|0|0|0|0|,6803|492|157|154|0|256|,3397|0|0|0|0|0|,0|0|0|0|0|0|,3406|492|157|154|0|256|,0|0|0|0|0|0|,0|0|0|0|0|0|,3406|492|157|154|0|256|,2732|125|32|30|0|40|,0|0|0|0|0|0|
4,0|1|2|3|4|5|,674|367|125|124|0|216|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,674|367|125|124|0|216|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|674|367|125|124|216|,0|0|0|0|0|0|,10725|583|367|125|124|216|,0|0|0|0|0|0|,7593|401|251|88|87|163|,3853|0|0|0|0|0|,0|0|0|0|0|0|,3740|401|251|88|87|163|,0|0|0|0|0|0|,0|0|0|0|0|0|,3523|388|232|82|81|148|,2820|110|59|20|13|25|,0|0|0|0|0|0|
5,0|1|2|3|4|5|,703|278|173|62|68|123|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,703|278|173|62|68|123|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|703|278|173|62|191|,0|0|0|0|0|0|,9465|649|278|173|62|191|,0|0|0|0|0|0|,7487|509|218|151|54|153|,3742|0|0|0|0|0|,0|0|0|0|0|0|,3745|509|218|151|54|153|,0|0|0|0|0|0|,0|0|0|0|0|0|,3634|490|215|148|53|150|,2938|108|37|26|7|15|,0|0|0|0|0|0|
6,0|1|2|3|4|5|,696|382|178|122|46|135|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,696|382|178|122|46|135|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|696|382|178|122|181|,0|0|0|0|0|0|,12135|652|382|178|122|181|,0|0|0|0|0|0|,7981|428|242|116|76|123|,3985|0|0|0|0|0|,0|0|0|0|0|0|,3996|428|242|116|76|123|,0|0|0|0|0|0|,0|0|0|0|0|0|,3751|407|225|109|75|117|,3012|99|40|20|10|12|,0|0|0|0|0|0|
7,0|1|2|3|4|5|,739|308|185|89|65|105|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,739|308|185|89|65|105|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|739|308|185|89|170|,0|0|0|0|0|0|,10905|679|308|185|89|170|,0|0|0|0|0|0|,7845|508|226|139|62|128|,3952|0|0|0|0|0|,0|0|0|0|0|0|,3893|508|226|139|62|128|,0|0|0|0|0|0|,0|0|0|0|0|0|,3648|476|219|132|58|120|,2934|121|47|21|6|23|,0|0|0|0|0|0|
8,0|1|2|3|4|5|,714|355|172|111|52|97|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,714|355|172|111|52|97|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|714|355|172|111|149|,0|0|0|0|0|0|,11595|651|355|172|111|149|,0|0|0|0|0|0|,7871|445|234|127|77|102|,3981|0|0|0|0|0|,0|0|0|0|0|0|,3890|445|234|127|77|102|,0|0|0|0|0|0|,0|0|0|0|0|0|,3680|415|221|121|72|97|,2919|99|49|28|13|9|,0|0|0|0|0|0|
9,0|1|2|3|4|5|,761|316|172|93|59|88|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,761|316|172|93|59|88|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|761|316|172|93|147|,0|0|0|0|0|0|,10785|700|316|172|93|147|,0|0|0|0|0|0|,7549|517|221|120|58|104|,3747|0|0|0|0|0|,0|0|0|0|0|0|,3802|517|221|120|58|104|,0|0|0|0|0|0|,0|0|0|0|0|0|,3724|511|216|117|56|101|,3008|138|49|22|12|25|,0|0|0|0|0|0|
