Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|,1332|1346|1369|1295|1304|1354|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,1332|1346|1369|1295|1304|1354|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|1332|1346|1369|1295|2658|,0|0|0|0|0|0|,46110|342|311|331|314|700|,0|0|0|0|0|0|,7658|62|46|56|46|128|,0|0|0|0|0|0|,0|0|0|0|0|0|,7658|62|46|56|46|128|,0|0|0|0|0|0|,0|0|0|0|0|0|,7655|62|46|56|46|128|,3838|3|4|2|1|119|,0|0|0|0|0|0|
1,0|1|2|3|4|5|,3817|59|42|54|45|9|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3817|59|42|54|45|9|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3817|59|42|54|54|,0|0|0|0|0|0|,1470|975|59|42|54|54|,0|0|0|0|0|0|,1470|975|59|42|54|54|,0|0|0|0|0|0|,0|0|0|0|0|0|,1470|975|59|42|54|54|,0|0|0|0|0|0|,0|0|0|0|0|0|,1470|975|59|42|54|54|,741|58|4|5|2|45|,0|0|0|0|0|0|
2,0|1|2|3|4|5|,729|917|55|37|52|9|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,729|917|55|37|52|9|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|729|917|55|37|61|,0|0|0|0|0|0|,9290|389|917|55|37|61|,0|0|0|0|0|0|,6751|283|717|40|30|44|,0|0|0|0|0|0|,0|0|0|0|0|0|,6751|283|717|40|30|44|,0|0|0|0|0|0|,0|0|0|0|0|0|,6749|282|717|40|30|44|,3331|10|30|2|0|42|,0|0|0|0|0|0|
3,0|1|2|3|4|5|,3418|272|687|38|30|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3418|272|687|38|30|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3418|272|687|38|32|,0|0|0|0|0|0|,7200|3149|272|687|38|32|,0|0|0|0|0|0|,5048|2311|196|509|28|23|,0|0|0|0|0|0|,0|0|0|0|0|0|,5048|2311|196|509|28|23|,0|0|0|0|0|0|,0|0|0|0|0|0|,4974|2279|195|500|28|22|,2545|125|8|14|2|20|,0|0|0|0|0|0|
4,0|1|2|3|4|5|,2429|2154|187|486|26|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2429|2154|187|486|26|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2429|2154|187|486|28|,0|0|0|0|0|0|,24570|2338|2154|187|486|28|,0|0|0|0|0|0|,7854|711|683|63|155|8|,0|0|0|0|0|0|,0|0|0|0|0|0|,7854|711|683|63|155|8|,0|0|0|0|0|0|,0|0|0|0|0|0|,6594|626|584|56|132|5|,3354|29|38|0|7|4|,0|0|0|0|0|0|
5,0|1|2|3|4|5|,3240|597|546|56|125|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3240|597|546|56|125|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3240|597|546|56|126|,0|0|0|0|0|0|,9760|3209|597|546|56|126|,0|0|0|0|0|0|,5636|1931|373|331|31|87|,0|0|0|0|0|0|,0|0|0|0|0|0|,5636|1931|373|331|31|87|,0|0|0|0|0|0|,0|0|0|0|0|0|,5359|1847|359|320|30|84|,2684|81|13|15|1|74|,0|0|0|0|0|0|
6,0|1|2|3|4|5|,2675|1766|346|305|29|10|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2675|1766|346|305|29|10|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2675|1766|346|305|39|,0|0|0|0|0|0|,21040|2675|1766|346|305|39|,0|0|0|0|0|0|,7173|940|624|124|98|11|,0|0|0|0|0|0|,0|0|0|0|0|0|,7173|940|624|124|98|11|,0|0|0|0|0|0|,0|0|0|0|0|0|,6422|809|561|110|87|10|,3242|46|21|6|5|10|,0|0|0|0|0|0|
7,0|1|2|3|4|5|,3180|763|540|104|82|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3180|763|540|104|82|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3180|763|540|104|82|,0|0|0|0|0|0|,11870|3180|763|540|104|82|,0|0|0|0|0|0|,6205|1700|389|307|51|37|,0|0|0|0|0|0|,0|0|0|0|0|0|,6205|1700|389|307|51|37|,0|0|0|0|0|0|,0|0|0|0|0|0|,5688|1576|368|287|47|33|,2871|78|26|11|2|29|,0|0|0|0|0|0|
8,0|1|2|3|4|5|,2817|1498|342|276|45|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2817|1498|342|276|45|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2817|1498|342|276|49|,0|0|0|0|0|0|,17470|2817|1498|342|276|49|,0|0|0|0|0|0|,6944|1186|591|149|110|16|,0|0|0|0|0|0|,0|0|0|0|0|0|,6944|1186|591|149|110|16|,0|0|0|0|0|0|,0|0|0|0|0|0|,6154|1056|534|132|106|16|,3038|55|31|9|4|15|,0|0|0|0|0|0|
9,0|1|2|3|4|5|,3116|1001|503|123|102|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3116|1001|503|123|102|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3116|1001|503|123|103|,0|0|0|0|0|0|,13530|3116|1001|503|123|103|,0|0|0|0|0|0|,6078|1511|435|232|66|49|,0|0|0|0|0|0|,0|0|0|0|0|0|,6078|1511|435|232|66|49|,0|0|0|0|0|0|,0|0|0|0|0|0|,5836|1421|418|222|62|40|,2898|88|22|12|3|37|,0|0|0|0|0|0|
10,0|1|2|3|4|5|,2938|1333|396|210|59|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2938|1333|396|210|59|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2938|1333|396|210|62|,0|0|0|0|0|0|,16990|2938|1333|396|210|62|,0|0|0|0|0|0|,7138|1263|573|158|87|25|,0|0|0|0|0|0|,0|0|0|0|0|0|,7138|1263|573|158|87|25|,0|0|0|0|0|0|,0|0|0|0|0|0|,6131|1132|495|137|79|23|,3058|60|24|4|2|18|,0|0|0|0|0|0|
11,0|1|2|3|4|5|,3073|1072|471|133|77|5|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3073|1072|471|133|77|5|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3073|1072|471|133|82|,0|0|0|0|0|0|,14200|3073|1072|471|133|82|,0|0|0|0|0|0|,6131|1414|445|217|71|41|,0|0|0|0|0|0|,0|0|0|0|0|0|,6131|1414|445|217|71|41|,0|0|0|0|0|0|,0|0|0|0|0|0|,5918|1334|428|207|68|41|,2987|79|20|12|4|36|,0|0|0|0|0|0|
12,0|1|2|3|4|5|,2931|1255|408|195|64|5|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2931|1255|408|195|64|5|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2931|1255|408|195|69|,0|0|0|0|0|0|,15400|2931|1255|408|195|69|,0|0|0|0|0|0|,6997|1349|572|176|89|32|,0|0|0|0|0|0|,0|0|0|0|0|0|,6997|1349|572|176|89|32|,0|0|0|0|0|0|,0|0|0|0|0|0|,6002|1246|487|160|75|28|,3012|61|28|12|2|26|,0|0|0|0|0|0|
13,0|1|2|3|4|5|,2990|1185|459|148|73|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2990|1185|459|148|73|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2990|1185|459|148|75|,0|0|0|0|0|0|,15020|2990|1185|459|148|75|,0|0|0|0|0|0|,6493|1343|481|221|65|28|,0|0|0|0|0|0|,0|0|0|0|0|0|,6493|1343|481|221|65|28|,0|0|0|0|0|0|,0|0|0|0|0|0|,6013|1228|461|210|62|26|,2937|62|25|19|1|26|,0|0|0|0|0|0|
14,0|1|2|3|4|5|,3076|1166|436|191|61|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3076|1166|436|191|61|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3076|1166|436|191|61|,0|0|0|0|0|0|,15380|3076|1166|436|191|61|,0|0|0|0|0|0|,6650|1409|513|190|76|30|,0|0|0|0|0|0|,0|0|0|0|0|0|,6650|1409|513|190|76|30|,0|0|0|0|0|0|,0|0|0|0|0|0|,5982|1291|456|170|68|28|,3044|64|22|8|5|22|,0|0|0|0|0|0|
15,0|1|2|3|4|5|,2938|1227|434|162|63|6|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2938|1227|434|162|63|6|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2938|1227|434|162|69|,0|0|0|0|0|0|,15260|2938|1227|434|162|69|,0|0|0|0|0|0|,6551|1289|555|189|70|36|,0|0|0|0|0|0|,0|0|0|0|0|0|,6551|1289|555|189|70|36|,0|0|0|0|0|0|,0|0|0|0|0|0|,6019|1184|511|180|69|34|,3088|65|29|9|2|31|,0|0|0|0|0|0|
16,0|1|2|3|4|5|,2931|1119|482|171|67|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2931|1119|482|171|67|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2931|1119|482|171|70|,0|0|0|0|0|0|,15450|2931|1119|482|171|70|,0|0|0|0|0|0|,6812|1347|492|224|79|25|,0|0|0|0|0|0|,0|0|0|0|0|0|,6812|1347|492|224|79|25|,0|0|0|0|0|0|,0|0|0|0|0|0|,6022|1237|440|206|68|25|,3005|58|16|10|6|24|,0|0|0|0|0|0|
17,0|1|2|3|4|5|,3017|1179|424|196|62|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3017|1179|424|196|62|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3017|1179|424|196|63|,0|0|0|0|0|0|,15700|3017|1179|424|196|63|,0|0|0|0|0|0|,6598|1287|498|184|86|30|,0|0|0|0|0|0|,0|0|0|0|0|0|,6598|1287|498|184|86|30|,0|0|0|0|0|0|,0|0|0|0|0|0|,6097|1163|462|164|83|28|,3091|49|28|9|3|24|,0|0|0|0|0|0|
